Check,Status,Evidence
Target columns excluded from features,pass,flagged_feature_columns=[]; feature_count=579
High-volatility threshold estimated before calibration and holdout,pass,threshold_source_end_date=2017-12-29; threshold=0.200601; quantile=0.80
Chronological split order,pass,"context_max=2009-12-31, tune_min=2010-01-04, tune_max=2017-12-29, calibration_min=2018-01-02, holdout_min=2020-01-02"
TFM embedding context reused as downstream labels,not_used_in_fair_embedding_path,embedding context labels condition TabPFN/TabICL embeddings; fair embedding-enhanced XGBoost excludes context rows from downstream fitting
Raw all-history incumbent separated from fair embedding comparison,pass,raw all-history incumbent is reported as a separate classical reference point
Calibration window used for final uncalibrated refit,review,final uncalibrated rows use all pre-holdout labels; calibration-base and calibrated rows are reported separately for threshold/probability diagnostics
Overlapping target windows,known_limitation,future realized-volatility labels use overlapping 20-day windows; uncertainty is reported with calendar-month block bootstrap rather than iid row bootstrap
Target-threshold sensitivity reported,pass,"quantiles=0.7, 0.75, 0.8, 0.85, 0.9; no refit sensitivity artifact records score robustness to alternate label thresholds"
Named regime diagnostics reported,pass,"regime_periods=covid_shock_2020, post_covid_reopen_2021, inflation_rate_shock_2022, quiet_2023, late_holdout_2024_2026"
Volatility-domain baselines included,pass,"recent close-to-close RV, Parkinson RV, Garman-Klass RV, VIX close, VIX z-score, and VIX-realized-volatility gap are evaluated as deterministic rule scores when their source columns are available"
Investment decision interpretation,educational_only,"risk-policy section is a diagnostic of score utility, not an investment recommendation"
