trial,params,mean_test_score,std_test_score,fold_scores,mean_best_iteration,max_best_iteration,fold_best_iterations,early_stopping_rounds,errors
1,"{""colsample_bylevel"": 0.6872700594236812, ""colsample_bytree"": 0.9728928685254539, ""gamma"": 0.40955834936192403, ""learning_rate"": 0.037069753392781075, ""max_bin"": 742, ""max_delta_step"": 1, ""max_depth"": 4, ""min_child_weight"": 0.10454460591631218, ""n_estimators"": 1882, ""reg_alpha"": 11.567327199145982, ""reg_lambda"": 6.153465757494016, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.5592630224331111}",0.2823006329576586,0.08278682854013095,"[0.4385388662867538, 0.26358790364862456, 0.17692637775053302, 0.3202968902789968, 0.22121134081198746, 0.27324241896905593]",57.5,233.0,"[6, 14, 47, 233, 32, 13]",75,
2,"{""colsample_bylevel"": 0.9849549260809971, ""colsample_bytree"": 0.907843452440232, ""gamma"": 0.00021774846673949344, ""learning_rate"": 0.0064380360133489065, ""max_bin"": 404, ""max_delta_step"": 0, ""max_depth"": 5, ""min_child_weight"": 4.558060845880422, ""n_estimators"": 2700, ""reg_alpha"": 0.01055881377906483, ""reg_lambda"": 0.5147650321325028, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.729937437271865}",0.2791593473666773,0.05934611849453503,"[0.3900413724827561, 0.23517248206133187, 0.2299956333107956, 0.32574697843327677, 0.23590582637026408, 0.25809379154163953]",9.833333333333334,24.0,"[24, 8, 2, 11, 2, 12]",75,
3,"{""colsample_bylevel"": 0.5233328316068078, ""colsample_bytree"": 0.9855655353628026, ""gamma"": 0.0002928863947598484, ""learning_rate"": 0.004389136856236538, ""max_bin"": 690, ""max_delta_step"": 5, ""max_depth"": 8, ""min_child_weight"": 70.69028508408155, ""n_estimators"": 1928, ""reg_alpha"": 2.114233203549714e-05, ""reg_lambda"": 6.478539664840222, ""scale_pos_weight"": 1.0, ""subsample"": 0.7527246633862944}",0.24186631915650572,0.0413224856565137,"[0.2, 0.2650048652950048, 0.2, 0.23567213114754096, 0.23090049927226644, 0.31962041922422213]",17.833333333333332,55.0,"[1, 25, 1, 1, 24, 55]",75,
4,"{""colsample_bylevel"": 0.5066324805799333, ""colsample_bytree"": 0.9682109656266691, ""gamma"": 0.03542386603907951, ""learning_rate"": 0.015138602392314762, ""max_bin"": 473, ""max_delta_step"": 10, ""max_depth"": 3, ""min_child_weight"": 7.786364268056034, ""n_estimators"": 1790, ""reg_alpha"": 0.6065193093671484, ""reg_lambda"": 6.606970206752631, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.6280140940784975}",0.29145861457358896,0.03901564536712699,"[0.3773625007928145, 0.27245361643211174, 0.26428691275167787, 0.2872642357545423, 0.2753462185351566, 0.27203820317523036]",48.833333333333336,225.0,"[6, 30, 1, 225, 3, 28]",75,
5,"{""colsample_bylevel"": 0.6955303037866204, ""colsample_bytree"": 0.5502298482834342, ""gamma"": 0.5748504874729697, ""learning_rate"": 0.01788820529615122, ""max_bin"": 693, ""max_delta_step"": 1, ""max_depth"": 5, ""min_child_weight"": 0.19555361970422389, ""n_estimators"": 1102, ""reg_alpha"": 7.8703386917029325, ""reg_lambda"": 1.8315537187516697, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.952672307692442}",0.274702098162478,0.05730355107381296,"[0.3936523466423987, 0.2607687284267495, 0.21052556818181817, 0.2818271666462903, 0.24629518558364713, 0.25514359349396437]",50.5,270.0,"[16, 270, 1, 13, 1, 2]",75,
6,"{""colsample_bylevel"": 0.7989499894055425, ""colsample_bytree"": 0.9570308292627143, ""gamma"": 3.610720816945312e-05, ""learning_rate"": 0.006832444467900929, ""max_bin"": 829, ""max_delta_step"": 10, ""max_depth"": 9, ""min_child_weight"": 12.401473873452447, ""n_estimators"": 1278, ""reg_alpha"": 6.326486185661585, ""reg_lambda"": 0.8698504235548351, ""scale_pos_weight"": 1.0, ""subsample"": 0.6134159012386432}",0.2514173000818143,0.04092175933320602,"[0.22325863501539905, 0.26405105245161403, 0.1916671093929841, 0.30678900935158326, 0.22774730636706017, 0.29499068791224514]",110.5,492.0,"[492, 78, 37, 30, 3, 23]",75,
7,"{""colsample_bylevel"": 0.9010984903770198, ""colsample_bytree"": 0.49100285402387395, ""gamma"": 16.53499964207631, ""learning_rate"": 0.0768467030262712, ""max_bin"": 775, ""max_delta_step"": 3, ""max_depth"": 4, ""min_child_weight"": 9.200803266908613, ""n_estimators"": 2098, ""reg_alpha"": 3.398042322726315, ""reg_lambda"": 6.396852137349524, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.7113095778449228}",0.269360921008814,0.04442781782298501,"[0.33043372564552387, 0.26280672652846276, 0.1941163045161141, 0.2768501595914948, 0.2423289406110179, 0.30962966916027057]",13.833333333333334,36.0,"[6, 36, 21, 10, 3, 7]",75,
8,"{""colsample_bylevel"": 0.5579345297625649, ""colsample_bytree"": 0.9247068842315764, ""gamma"": 0.08460970744279951, ""learning_rate"": 0.012040625663075235, ""max_bin"": 175, ""max_delta_step"": 10, ""max_depth"": 4, ""min_child_weight"": 3.9224648604296766, ""n_estimators"": 1970, ""reg_alpha"": 0.020207122587167347, ""reg_lambda"": 0.1302607873287156, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.9320112209197378}",0.27494270523571057,0.038857030954933494,"[0.34298319945192923, 0.2592655887772653, 0.21358110777741046, 0.2920323283656313, 0.27774886560628764, 0.26404514143573954]",34.166666666666664,124.0,"[5, 46, 19, 124, 9, 2]",75,
9,"{""colsample_bylevel"": 0.8608647605824367, ""colsample_bytree"": 0.5797917058619257, ""gamma"": 0.00041067113892932875, ""learning_rate"": 0.003555235977051182, ""max_bin"": 334, ""max_delta_step"": 1, ""max_depth"": 3, ""min_child_weight"": 1.2783708793589188, ""n_estimators"": 1263, ""reg_alpha"": 0.2850183875843368, ""reg_lambda"": 0.619475118867796, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.6126991544826441}",0.2777205607102988,0.035665002082895914,"[0.34396633011755406, 0.2378753440807961, 0.24393407534246575, 0.2982185356829936, 0.2691453082775497, 0.2731837707604337]",35.666666666666664,124.0,"[68, 2, 3, 4, 124, 13]",75,
10,"{""colsample_bylevel"": 0.8022086896389087, ""colsample_bytree"": 0.7469126002159203, ""gamma"": 0.0001903245747086209, ""learning_rate"": 0.15732586327999207, ""max_bin"": 966, ""max_delta_step"": 3, ""max_depth"": 4, ""min_child_weight"": 0.16426398423215885, ""n_estimators"": 1997, ""reg_alpha"": 0.2715352993984658, ""reg_lambda"": 53.59745213811555, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.9474761165134908}",0.30793913602911144,0.08955409594897717,"[0.45812793239248084, 0.2692113254120267, 0.1696919095850215, 0.3512146629114115, 0.26134033010347674, 0.33804865577025145]",32.833333333333336,89.0,"[8, 29, 63, 89, 1, 7]",75,
11,"{""colsample_bylevel"": 0.662172510502637, ""colsample_bytree"": 0.5171483750853704, ""gamma"": 0.0017580991546710062, ""learning_rate"": 0.13523639205509957, ""max_bin"": 512, ""max_delta_step"": 0, ""max_depth"": 4, ""min_child_weight"": 1.168085424045463, ""n_estimators"": 1372, ""reg_alpha"": 10.595320121534543, ""reg_lambda"": 0.05286197745891297, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.7378349514169507}",0.30463423809496054,0.04683014607546524,"[0.37046286223355096, 0.28462438121819084, 0.24109921517858857, 0.3630689442467344, 0.29276804631538744, 0.27578197937731114]",58.0,324.0,"[4, 4, 1, 324, 3, 12]",75,
12,"{""colsample_bylevel"": 0.6110539052353652, ""colsample_bytree"": 0.5159259520335255, ""gamma"": 0.0013406744164904717, ""learning_rate"": 0.1573629562070429, ""max_bin"": 501, ""max_delta_step"": 0, ""max_depth"": 5, ""min_child_weight"": 0.7312786254375145, ""n_estimators"": 1920, ""reg_alpha"": 0.0005989738984998027, ""reg_lambda"": 0.3609009370851272, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.7737618276515735}",0.2799241567062338,0.038850877027507356,"[0.3194732176159229, 0.26249693998699086, 0.23164468344155845, 0.338098779857097, 0.28583334089917567, 0.24199797843665768]",36.166666666666664,118.0,"[118, 43, 1, 51, 3, 1]",75,
13,"{""colsample_bylevel"": 0.6504391549083848, ""colsample_bytree"": 0.6066622719076072, ""gamma"": 1.7077557714466063e-05, ""learning_rate"": 0.03880708051102493, ""max_bin"": 769, ""max_delta_step"": 5, ""max_depth"": 7, ""min_child_weight"": 0.06380702822235979, ""n_estimators"": 2159, ""reg_alpha"": 22.796134031070487, ""reg_lambda"": 0.34037350450283677, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.7889205624927114}",0.26314944181717587,0.03574388919604349,"[0.2833257303426796, 0.28130234563879536, 0.19864679605732685, 0.30525707008646674, 0.23434308232065984, 0.27602162645712697]",27.333333333333332,78.0,"[5, 20, 2, 58, 78, 1]",75,
14,"{""colsample_bylevel"": 0.7238915822865458, ""colsample_bytree"": 0.7540911989892304, ""gamma"": 0.05427500042108002, ""learning_rate"": 0.00421298917611846, ""max_bin"": 311, ""max_delta_step"": 3, ""max_depth"": 2, ""min_child_weight"": 10.77116202038528, ""n_estimators"": 2727, ""reg_alpha"": 0.01959315802074713, ""reg_lambda"": 131.3564823943213, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.7910986078336414}",0.27397043053870523,0.05072517607042864,"[0.29755664265422194, 0.26918560606060604, 0.21148704005346006, 0.23340477685110456, 0.26242640615922563, 0.36976211145361326]",8.0,15.0,"[13, 1, 12, 2, 15, 5]",75,
15,"{""colsample_bylevel"": 0.5451448850272042, ""colsample_bytree"": 0.9094163725740809, ""gamma"": 0.0010501342215299414, ""learning_rate"": 0.006566198327932477, ""max_bin"": 476, ""max_delta_step"": 3, ""max_depth"": 5, ""min_child_weight"": 0.5538363367082081, ""n_estimators"": 2355, ""reg_alpha"": 1.3065162102672634e-05, ""reg_lambda"": 3.0170302300548144, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.7068996942812783}",0.2600157250195197,0.04223848334427733,"[0.32595936412275844, 0.282443322048699, 0.1893049940643041, 0.27540326041561547, 0.23757114757947972, 0.24941226188626123]",10.5,27.0,"[5, 18, 27, 9, 2, 2]",75,
16,"{""colsample_bylevel"": 0.5480882755457104, ""colsample_bytree"": 0.9672877954692822, ""gamma"": 0.0031997292421062605, ""learning_rate"": 0.02639079472154304, ""max_bin"": 999, ""max_delta_step"": 0, ""max_depth"": 4, ""min_child_weight"": 0.6191380787064853, ""n_estimators"": 2920, ""reg_alpha"": 0.00029073769646075924, ""reg_lambda"": 3.8163681475937947, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.6660737324718201}",0.2764018643557274,0.050282222496922394,"[0.36760531715159667, 0.25515619441679155, 0.204406919343796, 0.30554284976553925, 0.26339094574930205, 0.26230895970733864]",51.5,168.0,"[2, 168, 20, 90, 21, 8]",75,
17,"{""colsample_bylevel"": 0.8299920230170895, ""colsample_bytree"": 0.8994722101106687, ""gamma"": 0.03150191588283652, ""learning_rate"": 0.02774313749388937, ""max_bin"": 129, ""max_delta_step"": 0, ""max_depth"": 9, ""min_child_weight"": 61.98540447218702, ""n_estimators"": 852, ""reg_alpha"": 20.087523606336816, ""reg_lambda"": 7.949513254881612, ""scale_pos_weight"": 1.0, ""subsample"": 0.6754921086664819}",0.250279642987235,0.053648871490474,"[0.2, 0.2695262691506121, 0.19083639009444858, 0.23938363212219982, 0.24814372182076463, 0.3537878447353847]",43.5,195.0,"[1, 195, 60, 1, 1, 3]",75,
18,"{""colsample_bylevel"": 0.8501789149863856, ""colsample_bytree"": 0.9156636282310683, ""gamma"": 2.4872821269855114, ""learning_rate"": 0.01640239111974583, ""max_bin"": 800, ""max_delta_step"": 5, ""max_depth"": 4, ""min_child_weight"": 49.757297681345996, ""n_estimators"": 1843, ""reg_alpha"": 19.49302858678736, ""reg_lambda"": 6.420921747578232, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.7175272449527844}",0.25863751762900705,0.042333159374372986,"[0.25077388778507903, 0.24719847735585665, 0.21626986415875543, 0.2614279056814006, 0.22881678067299965, 0.34733819011995076]",36.833333333333336,103.0,"[10, 37, 12, 55, 103, 4]",75,
19,"{""colsample_bylevel"": 0.9700667212288892, ""colsample_bytree"": 0.9855151102154245, ""gamma"": 0.0006151691928206576, ""learning_rate"": 0.010816258767857679, ""max_bin"": 833, ""max_delta_step"": 3, ""max_depth"": 9, ""min_child_weight"": 76.79466181162144, ""n_estimators"": 560, ""reg_alpha"": 1.338220089629709e-05, ""reg_lambda"": 2.6079444645158505, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.8744229659134582}",0.25067431485877684,0.0349206869331604,"[0.21386888988308073, 0.22091805611147305, 0.22060392828533976, 0.2906020893193983, 0.25699797998902235, 0.30105494556434687]",7.0,11.0,"[8, 11, 2, 5, 10, 6]",75,
